input,output,difficulty,chapter
(   )紅繩長　3.35　公尺，藍繩長　2.85　公尺，將紅繩和藍繩都平分成　5　段，一段紅繩和一段藍繩相差的長度，下列計算方式何者錯誤？　(Ａ)紅繩先平分　5　段，藍繩再平分　5　段後，一段紅繩減一段藍繩　(Ｂ)紅繩先減藍繩後再平分成　5　段　(Ｃ)（3.35－2.85）÷5　(Ｄ)　3.35－2.85÷5。,答案：(Ｄ) 解析：(Ｄ)　3.35÷5－2.85÷5 ,中,1-1_小數的四則運算
(   )一個長方體的體積是　7.2　立方公尺，已知長是　4　公尺，寬是　2.25　公尺，下列求高的算式，何者錯誤？　(Ａ)　7.2÷（4×2.25）　(Ｂ)　7.2÷4÷2.25　(Ｃ)　7.2÷（4＋2.25）　(Ｄ)　7.2÷2.25÷4。,答案：(Ｃ) 解析：(Ｃ)　7.2÷（4×2.25） ,中,1-1_小數的四則運算
(   )46.875－23.625÷3.75　的答案是多少？　(Ａ)　6.2　(Ｂ)　6.3　(Ｃ)　40.575　(Ｄ)　46.812。,答案：(Ｃ) 解析：46.875－23.625÷3.75＝46.875－6.3＝40.575 ,中,1-1_小數的四則運算
(   )下列關於柱體的敘述，哪一個是正確的？　(Ａ)有上、下兩個平行但不全等的底面　(Ｂ)有上、下兩個平行且全等的底面　(Ｃ)上、下兩個底面不平行　(Ｄ)只有一個底面。,答案：(Ｂ) ,易,2-1_面與面、線與面的關係
(   )小美想要檢查家裡的牆壁與地板是不是互相垂直，她應該利用哪一種形體來檢查最恰當？　(Ａ)球體　(Ｂ)四角錐　(Ｃ)圓柱　(Ｄ)長方體。,答案：(Ｄ) 解析：長方體相鄰的面會互相垂直，可用來檢查兩個面是否互相垂直，所以選擇長方體較恰當。 ,易,2-1_面與面、線與面的關係
(   )下面哪一個不是角柱的特點？　(Ａ)側面的邊都一樣長　(Ｂ)所有側面的邊都和兩個底面互相平行　(Ｃ)　2　個底面互相平行　(Ｄ)　2　個底面面積一樣大。,答案：(Ｂ) 解析：所有側面的邊都和兩個底面互相垂直。 ,易,2-1_面與面、線與面的關係
(   )四個柱高都是　10　公分的柱體甲、乙、丙、丁，底面積分別是　12　平方公分、15　平方公分、22　平方公分、18　平方公分。四個柱體的體積大小關係為何？　(Ａ)甲＞乙＞丙＞丁　(Ｂ)甲＞丙＞乙＞丁　(Ｃ)丙＞丁＞乙＞甲　(Ｄ)丙＞乙＞甲＞丁。,答案：(Ｃ) 解析：柱高相同，底面積越大，體積越大。 ,中,2-2_角柱與圓柱的體積
(   )下列哪一個敘述是錯的？　(Ａ)正方體體積＝邊長×邊長×邊長　(Ｂ)三角柱體積＝0.5×底面積×高　(Ｃ)長方體體積＝長×寬×高　(Ｄ)底面為梯形的四角柱，體積＝底面積×高。,答案：(Ｂ) 解析：三角柱體積＝底面積×高 ,易,2-2_角柱與圓柱的體積
(   )下列哪一個算式可算出所有柱體的體積？　(Ａ)底面積×2＋側面積　(Ｂ)底面積÷2×柱高　(Ｃ)底面積×柱高　(Ｄ)底面積×2×柱高。,答案：(Ｃ) ,易,2-2_角柱與圓柱的體積
(   )一個底面直徑和柱高都是　20　公分的圓柱，體積大約是多少立方公分？　(Ａ)大約　800　立方公分　(Ｂ)大約　25120　立方公分　(Ｃ)大約　400　立方公分　(Ｄ)大約　6280　立方公分。,答案：(Ｄ) 解析：20÷2＝10 10×10×3.14×20＝6280 ,中,2-2_角柱與圓柱的體積
(   )一個圓柱的半徑和柱高都變為原來的　5　倍時，體積會變成原來的幾倍？　(Ａ)　125　倍　(Ｂ)　25　倍　(Ｃ)　5　倍　(Ｄ)　1　倍。,答案：(Ａ) 解析：圓柱的體積＝半徑×半徑×3.14×柱高，所以當半徑和柱高都變為原來的　5　倍時，體積會變成原來的　5×5×5＝125　倍。 ,難,2-2_角柱與圓柱的體積
(   )一個圓柱的底面積是　30　平方公分，體積是　600　立方公分，柱高是多少公分？　(Ａ)　20　公分　(Ｂ)　10　公分　(Ｃ)　15　公分　(Ｄ)　25　公分。,答案：(Ａ) 解析：600÷30＝20 ,易,2-2_角柱與圓柱的體積
