input,output,difficulty,chapter
(   )算算看，哪一個答案不是　15？　(Ａ)　9＋6　(Ｂ)　8＋7　(Ｃ)　6＋8。,答案：(Ｃ) 解析：(Ａ)　9＋6＝15；(Ｂ)　8＋7＝15；(Ｃ)　6＋8＝14 ,中,1-1_基本加法
(   )包子店上午賣出　5　個高麗菜包，下午賣出　9　個高麗菜包，包子店共賣出幾個高麗菜包？　(Ａ)　12　個　(Ｂ)　13　個　(Ｃ)　14　個。,答案：(Ｃ) 解析：5＋9＝14 ,易,1-1_基本加法
(   )籃子裡有　5　顆綠球和　7　顆黃球，籃子裡共有幾顆球？　(Ａ)　13　顆　(Ｂ)　12　顆　(Ｃ)　11　顆。,答案：(Ｂ) 解析：5＋7＝12 ,易,1-1_基本加法
(   )操場上原有　9　個小朋友，又來　6　個小朋友，操場上現在共有幾個小朋友？　(Ａ)　15　個　(Ｂ)　16　個　(Ｃ)　17　個。,答案：(Ａ) 解析：9＋6＝15 ,易,1-1_基本加法
(   )書桌上有　10　本名人傳記和　6　本科學小百科，書桌上一共有幾本書？　(Ａ)　15　本　(Ｂ)　16　本　(Ｃ)　17　本。,答案：(Ｂ) 解析：10＋6＝16 ,易,1-1_基本加法
(   )「哥哥有　7　個花片，弟弟有　5　個花片，兩人共有幾個花片？」哪一個是正確的算式和答案？　(Ａ)　7－5＝2　(Ｂ)　7＋5＝12　(Ｃ)　7＋4＝12。,答案：(Ｂ) 解析：7＋5＝12 ,易,1-1_基本加法
(   )算式　12＋8＝20　中，12　稱為　(Ａ)被加數　(Ｂ)加數　(Ｃ)和。,答案：(Ａ) 解析：在加法算式中，加號前面的數字稱為被加數。 ,易,1-1_基本加法
(   )算式　9＋8＝17　中，8　稱為　(Ａ)被加數　(Ｂ)加數　(Ｃ)和。,答案：(Ｂ) 解析：在加法算式中，加號後面的數字稱為加數。 ,易,1-1_基本加法
(   )算式　8＋6＝14　中，14　稱為　(Ａ)被加數　(Ｂ)加數　(Ｃ)和。,答案：(Ｃ) 解析：在加法算式中，加法算式中的答案稱為和。 ,易,1-1_基本加法
(   )算式　9＋10＝□，□的正確答案是多少？　(Ａ)　9　(Ｂ)　10　(Ｃ)　19。,答案：(Ｃ) 解析：9＋10＝19 ,易,1-1_基本加法
